EQUIPO,J,G,E,P,GF,GC,DIF,PTS,LIGA
Liverpool,21,15,5,1,50,20,30,50,INGLATERRA
Arsenal,22,12,8,2,43,21,22,44,INGLATERRA
Nottingham Forest,22,13,5,4,33,22,11,44,INGLATERRA
Chelsea,22,11,7,4,44,27,17,40,INGLATERRA
Manchester City,22,11,5,6,44,29,15,38,INGLATERRA
Newcastle United,22,11,5,6,38,26,12,38,INGLATERRA
AFC Bournemouth,22,10,7,5,36,26,10,37,INGLATERRA
Aston Villa,22,10,6,6,33,34,-1,36,INGLATERRA
Brighton & Hove Albion,22,8,10,4,35,30,5,34,INGLATERRA
Fulham,22,8,9,5,34,30,4,33,INGLATERRA
Brentford,22,8,4,10,40,39,1,28,INGLATERRA
Crystal Palace,22,6,9,7,25,28,-3,27,INGLATERRA
Manchester United,22,7,5,10,27,32,-5,26,INGLATERRA
West Ham United,22,7,5,10,27,43,-16,26,INGLATERRA
Tottenham Hotspur,22,7,3,12,45,35,10,24,INGLATERRA
Everton,21,4,8,9,18,28,-10,20,INGLATERRA
Wolverhampton Wanderers,22,4,4,14,32,51,-19,16,INGLATERRA
Ipswich Town,22,3,7,12,20,43,-23,16,INGLATERRA
Leicester City,22,3,5,14,23,48,-25,14,INGLATERRA
Southampton,22,1,3,18,15,50,-35,6,INGLATERRA
